# memory log of emacs
# TIME_(ms) size_(KiB) Rss_(KiB) share_(KiB)
0 674408 84076 30184
500 674408 84076 30184
1000 674408 84076 30184
1500 674408 84076 30184
2000 674408 84076 30184
2500 674408 84076 30184
3000 674408 84076 30184
3500 674408 84076 30184
4000 674408 84076 30184
4500 674408 84076 30184
5000 674408 84076 30184
5500 674408 84076 30184
6000 674408 84076 30184
6500 674408 84076 30184
7000 674408 84076 30184
7500 674408 84076 30184
8000 674408 84076 30184
8500 674408 84076 30184
9000 674408 84076 30184
9500 674408 84076 30184
10000 674408 84076 30184
10500 674408 84076 30184
11000 674408 84076 30184
11500 674408 84076 30184
12000 674408 84076 30184
12500 674408 84076 30184
13000 674408 84076 30184
13500 674408 84076 30184
14000 674408 84076 30184
14500 674408 84076 30184
15000 674408 84076 30184
15500 674408 84076 30184
16000 674408 84076 30184
16500 674408 84076 30184
17000 674408 84076 30184
17500 674408 84076 30184
18000 674408 84076 30184
18500 674408 84076 30184
19000 674408 84076 30184
19500 674408 84076 30184
20000 674408 84076 30184
20500 674408 84076 30184
21000 674408 84076 30184
21500 674408 84076 30184
22000 674408 84076 30184
22500 674408 84076 30184
23000 674408 84076 30184
23500 674408 84076 30184
24000 674408 84076 30184
24500 674408 84076 30184
25000 674408 84076 30184
25500 674408 84076 30184
26000 674408 84076 30184
26500 674408 84076 30184
27000 674408 84076 30184
27500 674408 84076 30184
28000 674408 84076 30184
28500 674408 84076 30184
29000 674408 84076 30184
29500 674408 84076 30184
30000 674408 84076 30184
30500 674408 84076 30184
31000 674408 84076 30184
31500 674408 84076 30184
32000 674408 84076 30184
32500 674408 84076 30184
33000 674408 84076 30184
33500 674408 84076 30184
34000 674408 84076 30184
34500 674408 84076 30184
35000 674408 84076 30184
35500 674408 84076 30184
36000 674408 84076 30184
36500 674408 84076 30184
37000 674408 84076 30184
37500 674408 84076 30184
38000 674408 84076 30184
38500 674408 84076 30184
39000 674408 84076 30184
39500 674408 84076 30184
40000 674408 84076 30184
40500 674408 84076 30184
41000 674408 84076 30184
41500 674408 84076 30184
42000 674408 84076 30184
42500 674408 84076 30184
43000 674408 84076 30184
43500 674408 84076 30184
44000 674408 84076 30184
44500 674408 84076 30184
45000 674408 84076 30184
45500 674408 84076 30184
46000 674408 84076 30184
46500 674408 84076 30184
47000 674408 84076 30184
47500 674408 84076 30184
48000 674408 84076 30184
48500 674408 84076 30184
49000 674408 84076 30184
49500 674408 84076 30184
50000 674408 84076 30184
50500 674408 84076 30184
51000 674408 84076 30184
51500 674408 84076 30184
52000 674408 84076 30184
52500 674544 84240 30184
53000 674544 84240 30184
53500 674544 84240 30184
54000 674544 84240 30184
54500 674544 84240 30184
55000 674544 84240 30184
55500 674544 84240 30184
56000 674544 84240 30184
56500 674544 84240 30184
57000 674544 84240 30184
57500 674544 84240 30184
58000 674544 84240 30184
58500 674544 84240 30184
59000 674544 84240 30184
59500 674544 84240 30184
60000 674544 84240 30184
60500 674544 84240 30184
61000 674544 84240 30184
61500 674544 84240 30184
62000 674544 84240 30184
62500 674544 84240 30184
63000 674544 84240 30184
63500 674544 84240 30184
64000 674544 84240 30184
64500 674544 84240 30184
65000 674544 84240 30184
65500 674544 84240 30184
66000 674544 84240 30184
66500 674544 84240 30184
67000 674544 84240 30184
67500 674544 84240 30184
68000 674544 84240 30184
68500 674544 84240 30184
69000 674544 84240 30184
69500 674544 84240 30184
70000 674544 84240 30184
70500 674544 84240 30184
71000 674544 84240 30184
71500 674544 84240 30184
72000 674544 84240 30184
72500 674544 84240 30184
73000 674544 84240 30184
73500 674544 84240 30184
74000 674544 84240 30184
74500 674544 84240 30184
75000 674544 84240 30184
75500 674544 84240 30184
76000 674544 84240 30184
76500 674544 84240 30184
77000 674544 84240 30184
77500 674544 84240 30184
78000 674544 84240 30184
78500 674544 84240 30184
79000 674544 84240 30184
79500 674544 84240 30184
80000 674544 84240 30184
80500 674544 84240 30184
81000 674544 84240 30184
81500 674544 84240 30184
82000 674544 84240 30184
82500 674544 84240 30184
83000 674544 84240 30184
83500 674544 84240 30184
84000 674544 84240 30184
84500 674544 84240 30184
85000 675316 85012 30184
85500 675316 85012 30184
86000 675316 85012 30184
86500 675316 85012 30184
87000 675316 85012 30184
87500 675316 85012 30184
88000 675316 85076 30248
88500 675316 85076 30248
89000 675316 85076 30248
89500 675316 85076 30248
90000 675316 85076 30248
90500 675316 85076 30248
91000 675316 85076 30248
91500 675316 85076 30248
92000 675316 85076 30248
92500 675316 85076 30248
93000 675316 85076 30248
93500 675316 85076 30248
94000 675316 85076 30248
94500 675316 85076 30248
95000 675316 85076 30248
95500 675316 85076 30248
96000 675316 85076 30248
96500 675316 85076 30248
97000 675316 85076 30248
97500 675316 85076 30248
98000 675316 85076 30248
98500 675316 85076 30248
99000 675316 85076 30248
99500 675316 85092 30248
100000 675452 85092 30248
100500 675452 85092 30248
101000 675452 85092 30248
101500 675452 85092 30248
102000 675452 85092 30248
102500 675452 85092 30248
103000 675452 85092 30248
103500 675452 85092 30248
104000 675452 85092 30248
104500 675452 85092 30248
105000 675452 85092 30248
105500 675452 85092 30248
106000 675452 85092 30248
106500 675452 85092 30248
107000 675452 85092 30248
107500 675452 85092 30248
108000 675452 85092 30248
108500 675452 85092 30248
109000 675452 85092 30248
109500 675452 85092 30248
110000 675452 85092 30248
110500 675452 85092 30248
111000 675452 85092 30248
111500 675452 85092 30248
112000 675452 85092 30248
112500 675452 85172 30248
113000 675452 85172 30248
113500 675452 85172 30248
114000 675452 85172 30248
114500 675452 85172 30248
115000 675452 85172 30248
115500 675452 85172 30248
116000 675452 85172 30248
116500 675452 85172 30248
117000 675452 85172 30248
117500 675452 85172 30248
118000 675452 85172 30248
118500 675452 85172 30248
119000 675452 85172 30248
119500 675452 85172 30248
120000 675452 85172 30248
120500 675452 85172 30248
121000 675452 85172 30248
121500 675452 85172 30248
122000 675452 85172 30248
122500 675452 85172 30248
123000 675452 85172 30248
123500 675452 85172 30248
124000 675452 85172 30248
124500 676224 85952 30248
125000 676224 85952 30248
125500 676224 85952 30248
126000 676224 85952 30248
126500 676224 85952 30248
127000 676224 85952 30248
127500 676224 85952 30248
128000 676224 85952 30248
128500 676224 85952 30248
129000 676224 85952 30248
129500 676224 85952 30248
130000 676224 85952 30248
130500 676224 85952 30248
131000 676224 85952 30248
131500 676224 85952 30248
132000 676224 85952 30248
132500 676224 85952 30248
133000 676224 85952 30248
