# memory log of firefox
# TIME_(ms) size_(KiB) Rss_(KiB) share_(KiB)
0 1598700 478212 85348
500 1598700 472464 85348
1000 1595308 456104 85348
1500 1595308 456104 85348
2000 1595308 456104 85348
2500 1592204 455892 85136
3000 1592204 455892 85136
3500 1592204 455892 85136
4000 1592460 456684 85136
4500 1592460 456684 85136
5000 1592524 456948 85136
5500 1592652 455660 85136
6000 1593548 459320 85136
6500 1594444 466672 85136
7000 1594444 464168 85136
7500 1594636 461540 85136
8000 1593036 458428 85136
8500 1593548 458216 85136
9000 1593740 461900 85136
9500 1593804 462692 85136
10000 1593868 461524 85136
10500 1593932 461788 85136
11000 1594316 463880 85136
11500 1594636 466628 85136
12000 1595084 470468 85136
12500 1595276 471988 85136
13000 1595340 473824 85136
13500 1595596 473116 85136
14000 1596156 470708 85136
14500 1594892 466864 85136
15000 1595212 469760 85136
15500 1595340 470288 85136
16000 1595340 471672 85136
16500 1595340 470496 85136
17000 1595340 470496 85136
17500 1595404 470496 85136
18000 1595404 470496 85136
18500 1595340 467432 85136
19000 1595340 467960 85136
19500 1595340 467960 85136
20000 1595340 467960 85136
20500 1595340 465196 85136
21000 1595340 462964 85136
21500 1592268 457840 85136
22000 1592268 457840 85136
22500 1592460 458100 85136
23000 1592460 458100 85136
23500 1592652 461348 85136
24000 1592524 461384 85136
24500 1592524 461384 85136
25000 1592524 461384 85136
25500 1592524 458172 85136
26000 1592524 458172 85136
26500 1592524 458172 85136
27000 1592524 458172 85136
27500 1592588 458436 85136
28000 1592588 458436 85136
28500 1592588 455844 85136
29000 1592588 455844 85136
29500 1592588 455844 85136
30000 1592588 455844 85136
30500 1592588 455844 85136
31000 1592780 456372 85136
31500 1592780 456372 85136
32000 1592780 456372 85136
32500 1592908 456636 85136
33000 1593356 460856 85136
33500 1593804 461396 85136
34000 1594192 465872 85136
34500 1594188 466396 85136
35000 1594316 461140 85136
35500 1594572 464828 85136
36000 1594572 465092 85136
36500 1594764 471684 85136
37000 1595096 474764 85136
37500 1595160 474520 85136
38000 1595160 475568 85136
38500 1595352 481080 85136
39000 1595352 479812 85136
39500 1595544 481924 85136
40000 1595544 482980 85136
40500 1595772 487572 85136
41000 1595836 487132 85136
41500 1595836 487656 85136
42000 1596156 490036 85136
42500 1596288 491612 85136
43000 1596348 494604 85136
43500 1596412 490988 85136
44000 1596476 491112 85136
44500 1596476 493752 85136
45000 1596476 497448 85136
45500 1596540 504900 85136
46000 1596604 506748 85136
46500 1596668 509136 85136
47000 1599836 511464 85244
47500 1599900 507656 85304
48000 1599964 490140 85628
48500 1599900 489380 85280
49000 1599900 488192 85264
49500 1599964 491084 85300
50000 1600156 493464 85288
50500 1600156 491540 85312
51000 1600220 498296 85304
51500 1600220 498608 85420
52000 1600284 498276 85668
52500 1600284 498452 85312
53000 1600284 498660 85256
53500 1600412 499884 85288
54000 1600348 500616 85244
54500 1600348 494132 85280
55000 1595372 481820 85268
55500 1595372 481796 85244
56000 1595436 482060 85244
56500 1595500 482876 85268
57000 1595500 480640 85244
57500 1595500 480640 85244
58000 1595564 480640 85244
58500 1595564 480776 85244
59000 1595564 459036 85244
59500 1595564 459036 85244
60000 1595564 459036 85244
60500 1595564 459036 85244
61000 1595564 455528 85244
61500 1595372 454136 85244
62000 1595372 454136 85244
62500 1595436 454136 85244
63000 1595436 454924 85244
63500 1595372 455068 85260
64000 1595372 455052 85244
64500 1595372 455356 85268
65000 1595372 455332 85244
65500 1595372 454840 85244
66000 1595372 454840 85244
66500 1595500 454840 85244
67000 1595500 454840 85244
67500 1595564 455384 85524
68000 1595564 455104 85244
68500 1595820 456172 85300
69000 1595820 457164 85500
69500 1595820 456968 85304
70000 1595820 456968 85304
70500 1595820 456908 85244
71000 1595820 456908 85244
71500 1595820 457264 85244
72000 1595372 454236 85244
72500 1595436 454236 85244
73000 1595436 454236 85244
73500 1595436 454520 85244
74000 1595436 454520 85244
74500 1595436 454520 85244
75000 1595436 454520 85244
75500 1595436 454636 85360
76000 1595436 454576 85300
76500 1595564 454520 85244
77000 1595564 454780 85244
77500 1595564 454780 85244
78000 1595564 454780 85244
78500 1595500 454900 85244
79000 1595500 454900 85244
79500 1595564 455164 85244
80000 1595564 455164 85244
80500 1595564 455428 85244
81000 1595564 455428 85244
81500 1595564 455428 85244
82000 1595564 455428 85244
82500 1595692 455428 85244
83000 1595692 455444 85260
83500 1595692 455692 85244
84000 1595692 455692 85244
84500 1595692 455748 85300
85000 1595756 455984 85536
85500 1595756 455820 85372
86000 1595756 455748 85300
86500 1595756 454964 85244
87000 1595756 455012 85292
87500 1595756 454968 85244
88000 1595756 454968 85244
88500 1595756 454968 85244
89000 1595756 454968 85244
89500 1595756 454968 85244
90000 1595756 454968 85244
90500 1595756 454968 85244
91000 1595756 454968 85244
91500 1595820 454968 85244
92000 1595820 454968 85244
92500 1595820 454968 85244
93000 1595820 454968 85244
93500 1595820 455024 85300
94000 1595820 454968 85244
94500 1595820 454968 85244
95000 1595820 454968 85244
95500 1595820 454968 85244
96000 1595820 454968 85244
96500 1595820 454968 85244
97000 1595820 454968 85244
97500 1595820 455532 85280
98000 1595820 455496 85244
98500 1595820 455496 85244
99000 1595820 455496 85244
99500 1595820 453720 85244
100000 1595884 453780 85304
100500 1595884 453720 85244
101000 1595884 453720 85244
101500 1595884 454776 85244
102000 1595884 455040 85244
102500 1595884 455048 85252
103000 1595884 455040 85244
103500 1596076 456080 85244
104000 1596076 457136 85244
104500 1596076 457136 85244
105000 1596076 457136 85244
105500 1596076 457136 85244
106000 1596076 457136 85244
106500 1596076 457140 85248
107000 1596076 457136 85244
107500 1596076 457136 85244
108000 1596076 457136 85244
108500 1596076 456452 85244
109000 1596076 454780 85244
109500 1596076 454780 85244
110000 1596076 454780 85244
110500 1596076 454780 85244
111000 1596076 454780 85244
111500 1596076 455572 85244
112000 1596076 455572 85244
112500 1596076 455572 85244
113000 1596076 455572 85244
113500 1596076 455840 85244
114000 1596076 455840 85244
